(0 0), 0.000000, 1.000000, 1.000000, 1.595584, 1.595584, 1.969172, 1.969172, 2.203511, 2.203511, 2.350503, 2.350503, 2.442706, 2.442706, 2.500542, 2.500542, 2.536820, 2.536820, 2.559576, 2.559576, 2.573850, 2.573850, 2.582803, 2.582803, 2.588419, 2.588419, 2.591942, 2.591942, 2.594152, 2.594152, 2.595538, 2.595538, 2.596408, 2.596408, 2.596953, 2.596953, 2.597295, 2.597295, 2.597510, 2.597510, 2.597644, 2.597644, 2.597729, 2.597729, 2.597782, 2.597782, 2.597815, 2.597815, 2.597836, 2.597836, 2.597849, 
(0 2), 0.000000, 1.000000, 1.000000, 1.595584, 1.595584, 1.969172, 1.969172, 2.203511, 2.203511, 2.350503, 2.350503, 2.442706, 2.442706, 2.500542, 2.500542, 2.536820, 2.536820, 2.559576, 2.559576, 2.573850, 2.573850, 2.582803, 2.582803, 2.588419, 2.588419, 2.591942, 2.591942, 2.594152, 2.594152, 2.595538, 2.595538, 2.596408, 2.596408, 2.596953, 2.596953, 2.597295, 2.597295, 2.597510, 2.597510, 2.597644, 2.597644, 2.597729, 2.597729, 2.597782, 2.597782, 2.597815, 2.597815, 2.597836, 2.597836, 2.597849, 
(0 3), 0.000000, -0.040000, 0.752000, 0.752000, 1.223703, 1.223703, 1.519585, 1.519585, 1.705181, 1.705181, 1.821598, 1.821598, 1.894623, 1.894623, 1.940429, 1.940429, 1.969161, 1.969161, 1.987184, 1.987184, 1.998489, 1.998489, 2.005580, 2.005580, 2.010028, 2.010028, 2.012818, 2.012818, 2.014568, 2.014568, 2.015666, 2.015666, 2.016355, 2.016355, 2.016787, 2.016787, 2.017058, 2.017058, 2.017228, 2.017228, 2.017334, 2.017334, 2.017401, 2.017401, 2.017443, 2.017443, 2.017469, 2.017469, 2.017486, 2.017486, 
(0 4), 0.000000, -0.040000, 0.752000, 0.752000, 1.223703, 1.223703, 1.519585, 1.519585, 1.705181, 1.705181, 1.821598, 1.821598, 1.894623, 1.894623, 1.940429, 1.940429, 1.969161, 1.969161, 1.987184, 1.987184, 1.998489, 1.998489, 2.005580, 2.005580, 2.010028, 2.010028, 2.012818, 2.012818, 2.014568, 2.014568, 2.015666, 2.015666, 2.016355, 2.016355, 2.016787, 2.016787, 2.017058, 2.017058, 2.017228, 2.017228, 2.017334, 2.017334, 2.017401, 2.017401, 2.017443, 2.017443, 2.017469, 2.017469, 2.017486, 2.017486, 
(0 5), 0.000000, 1.000000, 1.000000, 1.595584, 1.595584, 1.969172, 1.969172, 2.203511, 2.203511, 2.350503, 2.350503, 2.442706, 2.442706, 2.500542, 2.500542, 2.536820, 2.536820, 2.559576, 2.559576, 2.573850, 2.573850, 2.582803, 2.582803, 2.588419, 2.588419, 2.591942, 2.591942, 2.594152, 2.594152, 2.595538, 2.595538, 2.596408, 2.596408, 2.596953, 2.596953, 2.597295, 2.597295, 2.597510, 2.597510, 2.597644, 2.597644, 2.597729, 2.597729, 2.597782, 2.597782, 2.597815, 2.597815, 2.597836, 2.597836, 2.597849, 
(1 0), 0.000000, -0.040000, 0.752000, 0.752000, 1.223703, 1.223703, 1.519585, 1.519585, 1.705181, 1.705181, 1.821598, 1.821598, 1.894623, 1.894623, 1.940429, 1.940429, 1.969161, 1.969161, 1.987184, 1.987184, 1.998489, 1.998489, 2.005580, 2.005580, 2.010028, 2.010028, 2.012818, 2.012818, 2.014568, 2.014568, 2.015666, 2.015666, 2.016355, 2.016355, 2.016787, 2.016787, 2.017058, 2.017058, 2.017228, 2.017228, 2.017334, 2.017334, 2.017401, 2.017401, 2.017443, 2.017443, 2.017469, 2.017469, 2.017486, 2.017486, 
(1 1), 0.000000, -1.000000, -1.000000, -0.404416, -0.404416, -0.030828, -0.030828, 0.203511, 0.203511, 0.350503, 0.350503, 0.442706, 0.442706, 0.500542, 0.500542, 0.536820, 0.536820, 0.559576, 0.559576, 0.573850, 0.573850, 0.582803, 0.582803, 0.588419, 0.588419, 0.591942, 0.591942, 0.594152, 0.594152, 0.595538, 0.595538, 0.596408, 0.596408, 0.596953, 0.596953, 0.597295, 0.597295, 0.597510, 0.597510, 0.597644, 0.597644, 0.597729, 0.597729, 0.597782, 0.597782, 0.597815, 0.597815, 0.597836, 0.597836, 0.597849, 
(1 2), 0.000000, -0.040000, 0.752000, 0.752000, 1.223703, 1.223703, 1.519585, 1.519585, 1.705181, 1.705181, 1.821598, 1.821598, 1.894623, 1.894623, 1.940429, 1.940429, 1.969161, 1.969161, 1.987184, 1.987184, 1.998489, 1.998489, 2.005580, 2.005580, 2.010028, 2.010028, 2.012818, 2.012818, 2.014568, 2.014568, 2.015666, 2.015666, 2.016355, 2.016355, 2.016787, 2.016787, 2.017058, 2.017058, 2.017228, 2.017228, 2.017334, 2.017334, 2.017401, 2.017401, 2.017443, 2.017443, 2.017469, 2.017469, 2.017486, 2.017486, 
(1 3), 0.000000, 1.000000, 1.000000, 1.595584, 1.595584, 1.969172, 1.969172, 2.203511, 2.203511, 2.350503, 2.350503, 2.442706, 2.442706, 2.500542, 2.500542, 2.536820, 2.536820, 2.559576, 2.559576, 2.573850, 2.573850, 2.582803, 2.582803, 2.588419, 2.588419, 2.591942, 2.591942, 2.594152, 2.594152, 2.595538, 2.595538, 2.596408, 2.596408, 2.596953, 2.596953, 2.597295, 2.597295, 2.597510, 2.597510, 2.597644, 2.597644, 2.597729, 2.597729, 2.597782, 2.597782, 2.597815, 2.597815, 2.597836, 2.597836, 2.597849, 
(1 5), 0.000000, -1.000000, -0.208000, -0.208000, 0.263703, 0.263703, 0.559585, 0.559585, 0.745181, 0.745181, 0.861598, 0.861598, 0.934623, 0.934623, 0.980429, 0.980429, 1.009161, 1.009161, 1.027184, 1.027184, 1.038489, 1.038489, 1.045580, 1.045580, 1.050028, 1.050028, 1.052818, 1.052818, 1.054568, 1.054568, 1.055666, 1.055666, 1.056355, 1.056355, 1.056787, 1.056787, 1.057058, 1.057058, 1.057228, 1.057228, 1.057334, 1.057334, 1.057401, 1.057401, 1.057443, 1.057443, 1.057469, 1.057469, 1.057486, 1.057486, 
